ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,California,60.5,125,2.7,57.9
CA-003,Alpine County,California,45.6,121,2.3,43.3
CA-005,Amador County,California,59.9,124,2.7,57.2
CA-007,Butte County,California,62,126,3.3,58.8
CA-009,Calaveras County,California,60.4,124,2.7,57.6
CA-011,Colusa County,California,62.7,123,2.4,60.4
CA-013,Contra Costa County,California,61.8,125,2.9,58.8
CA-015,Del Norte County,California,52.4,109,1.6,50.8
CA-017,El Dorado County,California,55.7,123,2.3,53.4
CA-019,Fresno County,California,57.6,126,3.2,54.4
CA-021,Glenn County,California,61.9,124,2.6,59.3
CA-023,Humboldt County,California,54.3,109,1.4,53
CA-025,Imperial County,California,75.5,124,3.3,72.2
CA-027,Inyo County,California,62.4,122,2.8,59.6
CA-029,Kern County,California,63.7,125,3.2,60.5
CA-031,Kings County,California,65.3,123,2.9,62.5
CA-033,Lake County,California,58.6,124,2.3,56.3
CA-035,Lassen County,California,48,114,1.8,46.1
CA-037,Los Angeles County,California,63.7,125,3.8,59.9
CA-039,Madera County,California,58.1,126,2.9,55.1
CA-041,Marin County,California,56.8,121,2,54.8
CA-043,Mariposa County,California,57.3,125,2.8,54.5
CA-045,Mendocino County,California,56.3,118,1.4,54.8
CA-047,Merced County,California,63.9,124,2.9,61
CA-049,Modoc County,California,48.3,120,2.7,45.6
CA-051,Mono County,California,45.5,119,2.3,43.3
CA-053,Monterey County,California,60,124,2.8,57.2
CA-055,Napa County,California,60.7,124,2.5,58.2
CA-057,Nevada County,California,53.8,123,2.1,51.7
CA-059,Orange County,California,65.9,124,3.6,62.4
CA-061,Placer County,California,55.2,123,2.1,53
CA-063,Plumas County,California,48.6,118,1.8,46.8
CA-065,Riverside County,California,70.1,124,3.3,66.8
CA-067,Sacramento County,California,63.7,125,2.6,61.1
CA-069,San Benito County,California,60.8,126,3.4,57.4
CA-071,San Bernardino County,California,67.9,119,2.9,65.1
CA-073,San Diego County,California,64.2,122,3,61.2
CA-075,San Francisco County,California,57.5,113,1.8,55.8
CA-077,San Joaquin County,California,63.8,125,3,60.7
CA-079,San Luis Obispo County,California,61.2,125,3.2,58
CA-081,San Mateo County,California,57.4,116,2,55.4
CA-083,Santa Barbara County,California,60,122,3.3,56.6
CA-085,Santa Clara County,California,59.8,124,2.9,56.9
CA-087,Santa Cruz County,California,58.6,123,2.9,55.7
CA-089,Shasta County,California,56.9,124,2.6,54.3
CA-091,Sierra County,California,48.4,120,1.9,46.4
CA-093,Siskiyou County,California,50.5,122,2.6,47.8
CA-095,Solano County,California,62.3,125,2.5,59.7
CA-097,Sonoma County,California,58.1,121,2,56.1
CA-099,Stanislaus County,California,63.2,126,2.8,60.4
CA-101,Sutter County,California,64.1,122,2.3,61.8
CA-103,Tehama County,California,60.7,125,2.8,57.9
CA-105,Trinity County,California,54,124,2.5,51.6
CA-107,Tulare County,California,56.1,125,2.9,53.2
CA-109,Tuolumne County,California,51.6,119,2,49.6
CA-111,Ventura County,California,59.8,125,3.8,56
CA-113,Yolo County,California,63.2,124,2.3,60.9
CA-115,Yuba County,California,62.5,124,2.7,59.8
